Statistik_Code,Statistik_Label,Berichtsjahr,Rang,Staatsangehoerigkeit,Positiv_Voll_G_Anzahl,Positiv_Voll_G_Prozent
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,32,Afghanistan,417,0.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,33,Ungarn,414,0.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,34,Jordanien,402,0.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,35,Irak,363,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,36,Belarus,309,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,37,Usbekistan,297,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,38,Indonesien,273,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,39,Libanon,225,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,40,Kenia,219,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,41,Portugal,201,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,42,Chile,192,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,43,Honduras,186,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,44,Venezuela,183,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,45,Pakistan,174,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,46,Frankreich,168,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,47,Kasachstan,165,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,48,Georgien,159,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,49,Palästinensische Gebiete,156,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,50,Ecuador,153,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,51,Libyen,150,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,52,Niederlande,150,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,53,Peru,144,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,54,Argentinien,141,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,55,Thailand,141,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,56,Tschechien,141,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,57,Sri Lanka,135,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,58,Slowakei,135,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,59,Ghana,129,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,60,Schweiz,126,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,61,Moldau,126,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,62,Kamerun,123,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,63,Armenien,117,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,64,Vereinigte Staaten,108,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,65,Nigeria,102,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,66,Nepal,99,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,67,Belgien,99,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,68,Jemen,81,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,69,Mongolei,81,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,70,Litauen,78,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,71,Kirgisistan,75,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,72,Namibia,69,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,73,Montenegro,66,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,74,Vereinigtes Königreich,66,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,75,Südafrika,57,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,76,Japan,54,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,77,Dominikanische Republik,54,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,78,Lettland,51,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,79,Schweden,51,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,80,Sudan,51,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,81,Ungeklärt,48,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,82,Israel,45,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,83,Uganda,45,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,84,Bolivien,45,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,85,Ausländische Staatsangehörigkeit ohne konkrete Angabe,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,86,"Korea, Republik",42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,87,Tadschikistan,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,88,Zypern,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,89,Ruanda,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,90,El Salvador,39,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,91,Slowenien,36,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,92,Staatenlos,36,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,93,Luxemburg,36,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,94,Turkmenistan,36,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,95,Bangladesch,33,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,96,Kanada,33,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,97,Paraguay,33,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,98,Guatemala,30,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,99,Saudi-Arabien,30,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,100,Costa Rica,30,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Übrige,Übrige Staatsangehörigkeiten,495,0.7
