Statistik_Code,Statistik_Label,Berichtsjahr,Rang,Beruf,Neuantraege_Anzahl,Neuantraege_Prozent
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,24,Medizinisch-technische(r) Laboratoriumsassistent/in,411,0.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,25,Operationstechnische(r) Assistent/in (OTA),372,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,26,Architekt/in,366,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,27,Fachkraft Küche,354,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,28,Fachinformatiker/in,348,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,29,Fachkraft für Metalltechnik,345,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,30,Elektroniker/in für Automatisierungstechnik,315,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,31,"Anlagenmechaniker/in für Sanitär-, Heizungs- und Klimatechnik",297,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,32,Facharzt/Fachärztin,291,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,33,Pharmazeutisch-technische(r) Assistent/in,291,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,34,Fachkraft - Betreuung (reglementiert)(Hessen),267,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,35,Elektroniker/in für Geräte und Systeme,252,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,36,Zerspanungsmechaniker/in,252,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,37,Kindheitspädagoge/Kindheitspädagogin (Staatlich anerkannt),252,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,38,Zahnmedizinische(r) Fachangestellte(r),246,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,39,Zahntechniker/in,219,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,40,Elektroniker/in für Informations- und Systemtechnik,204,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,41,Mechatroniker/in,201,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,42,Industriemechaniker/in,189,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,43,Hotelfachmann/-fachfrau,189,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,44,Pflegefachassistent/Pflegefachassistentin,147,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,45,IT-System-Elektroniker/in,147,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,46,Fachmann/Fachfrau für Restaurants und Veranstaltungsgastronomie,135,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,47,Hebamme (Studium),132,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,48,Masseur/in und medizinische(r) Bademeister/in,123,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,49,Kinderpfleger/in,120,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,50,Pflegefachhelfer/in - Altenpflege (nur in Bayern),120,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,51,Berufskraftfahrer/in,117,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,52,Ergotherapeut/in,114,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,53,Metallbauer/in,111,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,54,Bauzeichner/in,111,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,55,Sozialpädagogische(r) Assistent/in (Staatlich gepr.) (reglementiert),111,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,56,Notfallsanitäter/in,108,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,57,Kaufmann/Kauffrau für Spedition und Logistikdienstleistung,99,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,58,Mechatroniker/in für Kältetechnik,93,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,59,Elektroniker/in für Gebäude- und Infrastruktursysteme,90,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,60,Tischler/in,90,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,61,Verkäufer/in,84,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,62,Konditor/in,84,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,63,Logopäde/Logopädin,78,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,64,Kaufmann/Kauffrau im Einzelhandel,78,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,65,Vermessungstechniker/in,75,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,66,Fluggerätmechaniker/in,72,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,67,Fachkraft für Lebensmitteltechnik,69,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,68,Technische(r) Produktdesigner/in,69,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,69,Heilpädagoge/Heilpädagogin (nicht in Bremen),63,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,70,Maurer/in,63,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,71,Chemielaborant/in,60,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,72,Informationselektroniker/in,60,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,73,Friseurmeister/in,57,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,74,Medizinischer Technologe / Medizinische Technologin für Radiologie,57,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,75,Fachkraft für Gastronomie,57,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,76,Elektroniker/in für Maschinen und Antriebstechnik nach der HwO,54,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,77,Hochbaufacharbeiter/in,51,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,78,Kaufmann/Kauffrau für Hotelmanagement,51,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,79,Medizinische(r) Fachangestellte(r),51,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,80,Eisenbahner/in im Betriebsdienst Lokführer/in und Transport,51,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,81,Konstruktionsmechaniker/in,48,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,82,Elektrotechnische(r) Assistent/in (Staatlich gepr.),48,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,83,Diätassistent/in,48,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,84,Sozialassistent/in (Staatlich gepr.) (Reglementiert),48,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,85,Kaufmännische(r) Assistent/in (Staatlich gepr.),45,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,86,Informationstechnische(r) Assistent/in (Staatlich gepr.),45,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,87,Maler/in und Lackierer/in,45,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,88,Elektrotechniker/in (Staatlich gepr.),42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,89,Bautechnische(r) Assistent/in (Staatlich gepr.),42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,90,Kaufmann/Kauffrau für Groß- und Außenhandelsmanagement,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,91,Altenpflegehelfer/in (in Hamburg: Gesundheits- und Pflegeassistent/in),42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,92,Bankkaufmann/-kauffrau,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,93,Übersetzer/in und Dolmetscher/in (Staatlich gepr.),42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,94,Textil- und Modeschneider/in,39,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,95,Bäcker/in,39,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,96,Gärtner/in,39,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,97,Land- und Baumaschinenmechatroniker/in,39,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,98,Chemikant/in,36,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,99,Holzmechaniker/in,36,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,100,Maschinen- und Anlagenführer/in,36,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Übrige,Übrige Berufe,1962,2.8
