Statistik_Code,Statistik_Label,Berichtsjahr,Rang,Staatsangehoerigkeit,Positiv_Voll_G_Anzahl,Positiv_Voll_G_Prozent
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,37,Afghanistan,165,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,38,Usbekistan,165,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,39,Honduras,147,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,40,Libanon,132,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,41,Frankreich,114,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,42,Niederlande,111,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,43,Palästinensische Gebiete,108,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,44,Tschechien,108,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,45,Slowakei,99,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,46,Indonesien,96,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,47,Schweiz,96,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,48,Venezuela,93,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,49,Belgien,87,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,50,Thailand,84,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,51,Moldau,84,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,52,Chile,78,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,53,Georgien,75,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,54,Libyen,75,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,55,Kasachstan,72,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,56,Pakistan,66,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,57,Argentinien,57,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,58,Armenien,54,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,59,Peru,54,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,60,Ecuador,51,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,61,Litauen,51,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,62,Nigeria,51,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,63,Jemen,48,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,64,Vereinigte Staaten,48,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,65,Mongolei,48,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,66,Ghana,45,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,67,Montenegro,45,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,68,Nepal,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,69,Kamerun,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,70,Sri Lanka,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,71,Zypern,36,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,72,Sudan,33,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,73,Paraguay,30,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,74,Lettland,30,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,75,Luxemburg,30,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,76,Malaysia,30,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,77,Costa Rica,30,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,78,Namibia,27,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,79,Schweden,27,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,80,Israel,27,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,81,Kenia,27,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,82,Slowenien,27,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,83,Vereinigtes Königreich,27,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,84,Ausländische Staatsangehörigkeit ohne konkrete Angabe,24,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,85,Bolivien,24,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,86,Staatenlos,24,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,87,El Salvador,21,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,88,Tadschikistan,21,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,89,Kanada,21,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,90,Kuba,21,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,91,Kirgisistan,18,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,92,Äthiopien,18,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,93,"Korea, Republik",18,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,94,Saudi-Arabien,18,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,95,Dänemark,15,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,96,Japan,15,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,97,Uganda,15,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,98,Ungeklärt,15,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,99,Bangladesch,15,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,100,Südafrika,15,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Übrige,Übrige Staatsangehörigkeiten,231,0.6
