Statistik_Code,Statistik_Label,Berichtsjahr,Kontinent,Staatsangehoerigkeit,Rang,Beruf,Neuantraege_Anzahl
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,Übrige,Insgesamt,127
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),8149
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),4440
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,3,Ingenieur/in,3433
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,4,Lehramt/Lehrer/in,2818
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,5,Erzieher/in,2106
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,6,Physiotherapeut/in,1108
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),542
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,8,Elektroanlagenmonteur/in,1030
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,9,Apotheker/in (im Rahmen der Approbationserteilung),273
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,10,Koch/Köchin,650
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,11,Kraftfahrzeugmechatroniker/in,671
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,12,Elektroniker/in,773
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,13,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",663
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,14,Elektroniker/in für Betriebstechnik,269
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,15,Kaufmann/Kauffrau für Büromanagement,545
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,16,Friseur/in,554
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,17,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,357
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,18,Medizinisch-technische(r) Radiologieassistent/in,345
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,19,Industrieelektriker/in,396
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,20,Pflegefachhelfer/in - Krankenpflege (nur in Bayern),319
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,Übrige,Übrige Berufe,8750
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),4543
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),1095
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,3,Ingenieur/in,205
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,4,Lehramt/Lehrer/in,65
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,5,Erzieher/in,77
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,6,Physiotherapeut/in,392
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),97
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,8,Elektroanlagenmonteur/in,4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,9,Apotheker/in (im Rahmen der Approbationserteilung),162
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,10,Koch/Köchin,111
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,11,Kraftfahrzeugmechatroniker/in,119
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,12,Elektroniker/in,57
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,13,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",32
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,14,Elektroniker/in für Betriebstechnik,59
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,15,Kaufmann/Kauffrau für Büromanagement,64
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,16,Friseur/in,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,17,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,60
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,18,Medizinisch-technische(r) Radiologieassistent/in,146
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,19,Industrieelektriker/in,45
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,20,Pflegefachhelfer/in - Krankenpflege (nur in Bayern),72
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,Übrige,Übrige Berufe,1616
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),2014
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),1013
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,3,Ingenieur/in,242
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,4,Lehramt/Lehrer/in,121
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,5,Erzieher/in,119
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,6,Physiotherapeut/in,68
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),32
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,8,Elektroanlagenmonteur/in,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,9,Apotheker/in (im Rahmen der Approbationserteilung),9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,10,Koch/Köchin,24
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,11,Kraftfahrzeugmechatroniker/in,23
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,12,Elektroniker/in,10
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,13,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",21
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,14,Elektroniker/in für Betriebstechnik,346
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,15,Kaufmann/Kauffrau für Büromanagement,7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,16,Friseur/in,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,17,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,44
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,18,Medizinisch-technische(r) Radiologieassistent/in,8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,19,Industrieelektriker/in,33
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,20,Pflegefachhelfer/in - Krankenpflege (nur in Bayern),13
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,Übrige,Übrige Berufe,400
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),8012
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),4262
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,3,Ingenieur/in,1177
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,4,Lehramt/Lehrer/in,313
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,5,Erzieher/in,291
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,6,Physiotherapeut/in,212
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),676
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,8,Elektroanlagenmonteur/in,14
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,9,Apotheker/in (im Rahmen der Approbationserteilung),585
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,10,Koch/Köchin,214
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,11,Kraftfahrzeugmechatroniker/in,128
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,12,Elektroniker/in,60
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,13,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",37
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,14,Elektroniker/in für Betriebstechnik,72
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,15,Kaufmann/Kauffrau für Büromanagement,124
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,16,Friseur/in,59
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,17,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,137
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,18,Medizinisch-technische(r) Radiologieassistent/in,99
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,19,Industrieelektriker/in,69
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,20,Pflegefachhelfer/in - Krankenpflege (nur in Bayern),132
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,Übrige,Übrige Berufe,2353
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,3,Ingenieur/in,2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,4,Lehramt/Lehrer/in,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,5,Erzieher/in,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,6,Physiotherapeut/in,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,8,Elektroanlagenmonteur/in,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,12,Elektroniker/in,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,13,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,14,Elektroniker/in für Betriebstechnik,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,17,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,Übrige,Übrige Berufe,8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),20
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),43
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,3,Ingenieur/in,2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,4,Lehramt/Lehrer/in,4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,5,Erzieher/in,7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,6,Physiotherapeut/in,2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,9,Apotheker/in (im Rahmen der Approbationserteilung),6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,15,Kaufmann/Kauffrau für Büromanagement,8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,17,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,18,Medizinisch-technische(r) Radiologieassistent/in,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,Übrige,Übrige Berufe,26
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Albanien,Übrige,Insgesamt,1389
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Andorra,Übrige,Insgesamt,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Belarus,Übrige,Insgesamt,309
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Belgien,Übrige,Insgesamt,98
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Bosnien und Herzegowina,Übrige,Insgesamt,2714
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Bulgarien,Übrige,Insgesamt,510
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Deutschland,Übrige,Insgesamt,4268
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Dänemark,Übrige,Insgesamt,21
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Estland,Übrige,Insgesamt,7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Finnland,Übrige,Insgesamt,13
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Frankreich,Übrige,Insgesamt,168
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Griechenland,Übrige,Insgesamt,600
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Irland,Übrige,Insgesamt,7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Island,Übrige,Insgesamt,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Italien,Übrige,Insgesamt,512
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Kosovo,Übrige,Insgesamt,2430
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Kroatien,Übrige,Insgesamt,941
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Lettland,Übrige,Insgesamt,52
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Liechtenstein,Übrige,Insgesamt,2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Litauen,Übrige,Insgesamt,77
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Luxemburg,Übrige,Insgesamt,35
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Moldau,Übrige,Insgesamt,126
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Monaco,Übrige,Insgesamt,2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Montenegro,Übrige,Insgesamt,67
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Niederlande,Übrige,Insgesamt,151
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Nordmazedonien,Übrige,Insgesamt,629
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Norwegen,Übrige,Insgesamt,20
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Oesterreich,Übrige,Insgesamt,433
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Polen,Übrige,Insgesamt,1058
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Portugal,Übrige,Insgesamt,202
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Rumänien,Übrige,Insgesamt,1391
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Russische Föderation,Übrige,Insgesamt,970
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Schweden,Übrige,Insgesamt,52
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Schweiz,Übrige,Insgesamt,127
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Serbien,Übrige,Insgesamt,1647
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Slowakei,Übrige,Insgesamt,134
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Slowenien,Übrige,Insgesamt,37
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Spanien,Übrige,Insgesamt,855
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Tschechien,Übrige,Insgesamt,140
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Türkei,Übrige,Insgesamt,8411
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Ukraine,Übrige,Insgesamt,7058
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Ungarn,Übrige,Insgesamt,414
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Vatikanstadt,Übrige,Insgesamt,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Vereinigtes Königreich,Übrige,Insgesamt,66
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Zypern,Übrige,Insgesamt,43
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Aegypten,Übrige,Insgesamt,1621
