Statistik_Code,Statistik_Label,Berichtsjahr,Rang,Ausbildungsstaat,Positiv_Beschieden_Anzahl,Positiv_Beschieden_Prozent
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,34,Aserbaidschan,402,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,35,Belarus,390,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,36,Moldau,354,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,37,Indonesien,342,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,38,Irak,339,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,39,Kasachstan,318,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,40,Afghanistan,270,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,41,Tschechien,249,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,42,Libanon,246,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,43,Schweiz,243,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,44,Kenia,225,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,45,Chile,219,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,46,Venezuela,216,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,47,Slowakei,210,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,48,Thailand,210,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,49,Argentinien,207,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,50,Honduras,189,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,51,Georgien,183,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,52,Portugal,171,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,53,Litauen,168,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,54,Libyen,165,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,55,Pakistan,156,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,56,Lettland,150,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,57,Vereinigtes Königreich,150,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,58,Ecuador,147,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,59,Peru,147,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,60,"ehem. Jugoslawien, Bundesrepublik",147,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,61,Armenien,135,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,62,Belgien,129,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,63,Frankreich,126,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,64,Sri Lanka,126,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,65,Ghana,120,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,66,Vereinigte Staaten,120,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,67,Nepal,117,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,68,Kamerun,108,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,69,Namibia,96,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,70,Mongolei,96,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,71,Palästinensische Gebiete,90,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,72,Nigeria,87,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,73,ehem. Serbien und Montenegro,87,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,74,Kirgisistan,84,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,75,Zypern,84,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,76,Montenegro,84,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,77,Sudan,78,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,78,ehem. Serbien (einschl. Kosovo),78,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,79,ehem. Jugoslawien (Gesamtjugoslawien),78,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,80,ehem. Sowjetunion,69,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,81,Jemen,66,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,82,Südafrika,63,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,83,Dominikanische Republik,60,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,84,Saudi-Arabien,57,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,85,Bolivien,54,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,86,Costa Rica,54,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,87,Schweden,54,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,88,Tadschikistan,54,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,89,Dänemark,48,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,90,Australien,45,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,91,Japan,45,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,92,Paraguay,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,93,Kuba,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,94,Malaysia,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,95,El Salvador,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,96,Uganda,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,97,Israel,39,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,98,"Korea, Republik",39,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,99,Äthiopien,36,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,100,Vereinigte Arabische Emirate,36,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Übrige,Übrige Ausbildungsstaaten,549,0.7
