Statistik_Code,Statistik_Label,Berichtsjahr,Rechtsgrundlage,Reglementierung,Geschlecht,Masseinheit,Gesamt,Beschieden,Positiv_Beschieden,Volle_Gleichwertigkeit,Negativ_Beschieden
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Bundesrecht,Insgesamt,Insgesamt,Anzahl,65820,54981,54258,24840,723
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Bundesrecht,Insgesamt,Frauen,Anzahl,37173,31362,30966,13188,396
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Bundesrecht,Insgesamt,Männer,Anzahl,28644,23622,23295,11652,327
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Bundesrecht,nicht Reglementiert,Insgesamt,Anzahl,12945,10659,10473,5286,183
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Bundesrecht,reglementiert,Insgesamt,Anzahl,52875,44325,43785,19554,540
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Landesrecht,Insgesamt,Insgesamt,Anzahl,15873,12555,11022,6819,1533
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Landesrecht,Insgesamt,Frauen,Anzahl,10416,8229,7113,3543,1116
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Landesrecht,Insgesamt,Männer,Anzahl,5457,4326,3909,3276,417
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Landesrecht,nicht Reglementiert,Insgesamt,Anzahl,1707,1071,885,789,189
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Landesrecht,reglementiert,Insgesamt,Anzahl,14166,11484,10137,6030,1347
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Insgesamt,Insgesamt,Insgesamt,Anzahl,65943,54261,52290,26301,1971
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Insgesamt,Insgesamt,Frauen,Anzahl,38421,31557,30234,14343,1323
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Insgesamt,Insgesamt,Männer,Anzahl,27525,22704,22056,11958,648
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Insgesamt,nicht Reglementiert,Insgesamt,Anzahl,12063,9714,9396,4905,315
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Insgesamt,reglementiert,Insgesamt,Anzahl,53880,44550,42894,21396,1656
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Bundesrecht,Insgesamt,Insgesamt,Anzahl,53538,44130,43383,20796,747
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Bundesrecht,Insgesamt,Frauen,Anzahl,30273,24846,24414,11397,432
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Bundesrecht,Insgesamt,Männer,Anzahl,23265,19284,18966,9399,315
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Bundesrecht,nicht Reglementiert,Insgesamt,Anzahl,10902,9036,8877,4428,156
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Bundesrecht,reglementiert,Insgesamt,Anzahl,42636,35094,34503,16371,591
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Landesrecht,Insgesamt,Insgesamt,Anzahl,12405,10134,8910,5505,1224
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Landesrecht,Insgesamt,Frauen,Anzahl,8145,6711,5820,2946,891
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Landesrecht,Insgesamt,Männer,Anzahl,4260,3423,3090,2559,333
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Landesrecht,nicht Reglementiert,Insgesamt,Anzahl,1161,678,519,480,159
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Landesrecht,reglementiert,Insgesamt,Anzahl,11244,9456,8391,5025,1065
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Insgesamt,Insgesamt,Insgesamt,Anzahl,59763,49017,46935,25467,2079
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Insgesamt,Insgesamt,Frauen,Anzahl,34716,28587,27135,14091,1452
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Insgesamt,Insgesamt,Männer,Anzahl,25047,20427,19800,11373,627
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Insgesamt,nicht Reglementiert,Insgesamt,Anzahl,11499,8976,8682,4329,297
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Insgesamt,reglementiert,Insgesamt,Anzahl,48264,40038,38256,21138,1785
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Bundesrecht,Insgesamt,Insgesamt,Anzahl,48048,39330,38604,20490,726
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Bundesrecht,Insgesamt,Frauen,Anzahl,26841,22020,21627,11367,393
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Bundesrecht,Insgesamt,Männer,Anzahl,21207,17310,16977,9123,333
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Bundesrecht,nicht Reglementiert,Insgesamt,Anzahl,10572,8406,8223,3897,183
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Bundesrecht,reglementiert,Insgesamt,Anzahl,37476,30924,30381,16593,543
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Landesrecht,Insgesamt,Insgesamt,Anzahl,11715,9687,8331,4977,1356
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Landesrecht,Insgesamt,Frauen,Anzahl,7875,6570,5508,2727,1059
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Landesrecht,Insgesamt,Männer,Anzahl,3840,3117,2823,2250,294
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Landesrecht,nicht Reglementiert,Insgesamt,Anzahl,927,570,456,432,114
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Landesrecht,reglementiert,Insgesamt,Anzahl,10788,9114,7875,4545,1242
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Insgesamt,Insgesamt,Insgesamt,Anzahl,59028,47169,44790,24858,2379
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Insgesamt,Insgesamt,Frauen,Anzahl,34710,27951,26364,13773,1587
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Insgesamt,Insgesamt,Männer,Anzahl,24318,19218,18426,11082,792
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Insgesamt,nicht Reglementiert,Insgesamt,Anzahl,10692,7602,7179,3894,423
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Insgesamt,reglementiert,Insgesamt,Anzahl,48336,39567,37611,20961,1956
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Bundesrecht,Insgesamt,Insgesamt,Anzahl,45426,36699,35742,19737,954
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Bundesrecht,Insgesamt,Frauen,Anzahl,25701,21054,20589,11172,465
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Bundesrecht,Insgesamt,Männer,Anzahl,19725,15645,15156,8565,489
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Bundesrecht,nicht Reglementiert,Insgesamt,Anzahl,9465,6810,6516,3321,294
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Bundesrecht,reglementiert,Insgesamt,Anzahl,35961,29889,29229,16419,660
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Landesrecht,Insgesamt,Insgesamt,Anzahl,13602,10470,9048,5118,1422
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Landesrecht,Insgesamt,Frauen,Anzahl,9009,6897,5775,2601,1119
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Landesrecht,Insgesamt,Männer,Anzahl,4593,3573,3270,2517,303
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Landesrecht,nicht Reglementiert,Insgesamt,Anzahl,1227,792,663,576,129
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Landesrecht,reglementiert,Insgesamt,Anzahl,12375,9678,8382,4545,1293
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Insgesamt,Insgesamt,Insgesamt,Anzahl,57309,44739,42462,22692,2277
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Insgesamt,Insgesamt,Frauen,Anzahl,33486,26184,24624,12372,1560
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Insgesamt,Insgesamt,Männer,Anzahl,23820,18555,17838,10320,717
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Insgesamt,nicht Reglementiert,Insgesamt,Anzahl,10341,7674,7353,3909,324
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Insgesamt,reglementiert,Insgesamt,Anzahl,46968,37065,35112,18783,1953
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Bundesrecht,Insgesamt,Insgesamt,Anzahl,44610,34695,33780,17409,915
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Bundesrecht,Insgesamt,Frauen,Anzahl,25362,19734,19224,9798,510
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Bundesrecht,Insgesamt,Männer,Anzahl,19248,14961,14556,7611,405
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Bundesrecht,nicht Reglementiert,Insgesamt,Anzahl,9210,6876,6690,3390,186
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Bundesrecht,reglementiert,Insgesamt,Anzahl,35403,27819,27090,14019,729
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Landesrecht,Insgesamt,Insgesamt,Anzahl,12696,10044,8682,5283,1362
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Landesrecht,Insgesamt,Frauen,Anzahl,8124,6450,5400,2574,1050
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Landesrecht,Insgesamt,Männer,Anzahl,4572,3594,3282,2709,312
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Landesrecht,nicht Reglementiert,Insgesamt,Anzahl,1131,798,663,519,138
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Landesrecht,reglementiert,Insgesamt,Anzahl,11565,9246,8019,4764,1224
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Insgesamt,Insgesamt,Insgesamt,Anzahl,50514,38448,36369,20211,2079
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Insgesamt,Insgesamt,Frauen,Anzahl,28101,21345,19941,10653,1401
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Insgesamt,Insgesamt,Männer,Anzahl,22413,17103,16428,9558,675
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Insgesamt,nicht Reglementiert,Insgesamt,Anzahl,9879,7056,6804,3915,249
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Insgesamt,reglementiert,Insgesamt,Anzahl,40635,31392,29565,16296,1827
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Bundesrecht,Insgesamt,Insgesamt,Anzahl,38076,28716,28041,15045,675
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Bundesrecht,Insgesamt,Frauen,Anzahl,20247,15219,14889,8208,327
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Bundesrecht,Insgesamt,Männer,Anzahl,17829,13497,13152,6837,345
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Bundesrecht,nicht Reglementiert,Insgesamt,Anzahl,8787,6291,6144,3363,144
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Bundesrecht,reglementiert,Insgesamt,Anzahl,29289,22425,21897,11682,528
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Landesrecht,Insgesamt,Insgesamt,Anzahl,12438,9732,8328,5166,1404
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Landesrecht,Insgesamt,Frauen,Anzahl,7854,6126,5052,2445,1074
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Landesrecht,Insgesamt,Männer,Anzahl,4584,3606,3276,2721,330
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Landesrecht,nicht Reglementiert,Insgesamt,Anzahl,1092,765,660,552,105
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Landesrecht,reglementiert,Insgesamt,Anzahl,11346,8967,7668,4614,1299
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Insgesamt,Insgesamt,Insgesamt,Anzahl,44028,32166,30222,19029,1944
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Insgesamt,Insgesamt,Frauen,Anzahl,23985,17688,16398,9753,1290
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Insgesamt,Insgesamt,Männer,Anzahl,20043,14478,13824,9273,654
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Insgesamt,nicht Reglementiert,Insgesamt,Anzahl,8448,5262,4944,2976,315
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Insgesamt,reglementiert,Insgesamt,Anzahl,35580,26904,25278,16053,1629
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Bundesrecht,Insgesamt,Insgesamt,Anzahl,31143,22254,21786,13620,468
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Bundesrecht,Insgesamt,Frauen,Anzahl,16452,12033,11829,7716,204
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Bundesrecht,Insgesamt,Männer,Anzahl,14691,10221,9954,5904,264
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Bundesrecht,nicht Reglementiert,Insgesamt,Anzahl,7329,4710,4506,2598,201
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Bundesrecht,reglementiert,Insgesamt,Anzahl,23814,17544,17277,11022,267
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Landesrecht,Insgesamt,Insgesamt,Anzahl,12885,9912,8436,5406,1476
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Landesrecht,Insgesamt,Frauen,Anzahl,7533,5655,4569,2037,1086
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Landesrecht,Insgesamt,Männer,Anzahl,5352,4257,3867,3369,390
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Landesrecht,nicht Reglementiert,Insgesamt,Anzahl,1119,552,438,378,114
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Landesrecht,reglementiert,Insgesamt,Anzahl,11766,9360,7998,5031,1362
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Insgesamt,Insgesamt,Insgesamt,Anzahl,38004,28149,26235,17136,1914
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Insgesamt,Insgesamt,Frauen,Anzahl,21222,15912,14733,9153,1176
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Insgesamt,Insgesamt,Männer,Anzahl,16782,12237,11502,7983,735
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Insgesamt,nicht Reglementiert,Insgesamt,Anzahl,7962,5751,5259,3147,492
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Insgesamt,reglementiert,Insgesamt,Anzahl,30042,22398,20976,13989,1419
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Bundesrecht,Insgesamt,Insgesamt,Anzahl,27270,19845,19179,13164,669
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Bundesrecht,Insgesamt,Frauen,Anzahl,14364,10494,10269,7299,225
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Bundesrecht,Insgesamt,Männer,Anzahl,12906,9351,8910,5865,441
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Bundesrecht,nicht Reglementiert,Insgesamt,Anzahl,7128,5175,4830,2829,345
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Bundesrecht,reglementiert,Insgesamt,Anzahl,20142,14670,14349,10335,321
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Landesrecht,Insgesamt,Insgesamt,Anzahl,10734,8304,7059,3972,1245
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Landesrecht,Insgesamt,Frauen,Anzahl,6858,5418,4467,1854,951
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Landesrecht,Insgesamt,Männer,Anzahl,3876,2886,2592,2121,294
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Landesrecht,nicht Reglementiert,Insgesamt,Anzahl,834,576,429,318,147
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Landesrecht,reglementiert,Insgesamt,Anzahl,9900,7725,6627,3654,1098
