Statistik_Code,Statistik_Label,Berichtsjahr,Berufshauptgruppe,Berufsgattung,Referenzberuf,Rechtsgrundlage,Reglementierung,Ausbildungsstaat,Beschieden_Anzahl
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Erziehung, soziale und hauswirtschaftliche Berufe, Theologie",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,4587
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Lehrende und ausbildende Berufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,3216
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sprach-, literatur-, geistes-, gesellschafts- und wirtschaftswissenschaftliche Berufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,291
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Werbung, Marketing, kaufmännische und redaktionelle Medienberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,18
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Produktdesign und kunsthandwerkliche Berufe, bildende Kunst, Musikinstrumentenbau",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,21
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Darstellende und unterhaltende Berufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,15
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Land-, Tier- und Forstwirtschaftsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Europa,48
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Land-, Tier- und Forstwirtschaftsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Afrika,9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Land-, Tier- und Forstwirtschaftsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Amerika (gesamt),3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Land-, Tier- und Forstwirtschaftsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Südamerika,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Land-, Tier- und Forstwirtschaftsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Asien,12
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Land-, Tier- und Forstwirtschaftsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EU-Länder,24
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Land-, Tier- und Forstwirtschaftsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Übriges Europa,24
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Land-, Tier- und Forstwirtschaftsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EWR/Schweiz,24
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Land-, Tier- und Forstwirtschaftsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Drittstaaten,48
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gartenbauberufe und Floristik,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Europa,39
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gartenbauberufe und Floristik,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Afrika,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gartenbauberufe und Floristik,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Amerika (gesamt),3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gartenbauberufe und Floristik,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Südamerika,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gartenbauberufe und Floristik,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Asien,9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gartenbauberufe und Floristik,Insgesamt,Insgesamt,Insgesamt,Insgesamt,EU-Länder,9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gartenbauberufe und Floristik,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Übriges Europa,30
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gartenbauberufe und Floristik,Insgesamt,Insgesamt,Insgesamt,Insgesamt,EWR/Schweiz,9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gartenbauberufe und Floristik,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Drittstaaten,42
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Europa,18
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Amerika (gesamt),0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Südamerika,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Asien,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EU-Länder,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Übriges Europa,9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EWR/Schweiz,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Drittstaaten,12
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Europa,153
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Afrika,12
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Asien,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EU-Länder,21
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Übriges Europa,132
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EWR/Schweiz,21
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Drittstaaten,150
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Papier- und Druckberufe, technische Mediengestaltung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Europa,42
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Papier- und Druckberufe, technische Mediengestaltung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Afrika,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Papier- und Druckberufe, technische Mediengestaltung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Amerika (gesamt),6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Papier- und Druckberufe, technische Mediengestaltung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Südamerika,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Papier- und Druckberufe, technische Mediengestaltung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Asien,12
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Papier- und Druckberufe, technische Mediengestaltung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EU-Länder,15
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Papier- und Druckberufe, technische Mediengestaltung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Übriges Europa,27
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Papier- und Druckberufe, technische Mediengestaltung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EWR/Schweiz,15
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Papier- und Druckberufe, technische Mediengestaltung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Drittstaaten,51
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Metallerzeugung und -bearbeitung, Metallbauberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Europa,711
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Metallerzeugung und -bearbeitung, Metallbauberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Afrika,93
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Metallerzeugung und -bearbeitung, Metallbauberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Amerika (gesamt),12
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Metallerzeugung und -bearbeitung, Metallbauberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Südamerika,12
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Metallerzeugung und -bearbeitung, Metallbauberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Asien,75
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Metallerzeugung und -bearbeitung, Metallbauberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Australien/Ozeanien,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Metallerzeugung und -bearbeitung, Metallbauberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EU-Länder,66
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Metallerzeugung und -bearbeitung, Metallbauberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Übriges Europa,645
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Metallerzeugung und -bearbeitung, Metallbauberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EWR/Schweiz,69
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Metallerzeugung und -bearbeitung, Metallbauberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Drittstaaten,822
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Maschinen- und Fahrzeugtechnikberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Europa,894
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Maschinen- und Fahrzeugtechnikberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Afrika,135
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Maschinen- und Fahrzeugtechnikberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Amerika (gesamt),39
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Maschinen- und Fahrzeugtechnikberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Nordamerika,9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Maschinen- und Fahrzeugtechnikberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Südamerika,30
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Maschinen- und Fahrzeugtechnikberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Asien,219
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Maschinen- und Fahrzeugtechnikberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Australien/Ozeanien,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Maschinen- und Fahrzeugtechnikberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,EU-Länder,168
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Maschinen- und Fahrzeugtechnikberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Übriges Europa,726
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Maschinen- und Fahrzeugtechnikberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,EWR/Schweiz,168
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Maschinen- und Fahrzeugtechnikberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Drittstaaten,1119
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Mechatronik-, Energie- und Elektroberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Europa,3591
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Mechatronik-, Energie- und Elektroberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Afrika,396
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Mechatronik-, Energie- und Elektroberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Amerika (gesamt),528
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Mechatronik-, Energie- und Elektroberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Nordamerika,15
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Mechatronik-, Energie- und Elektroberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Südamerika,513
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Mechatronik-, Energie- und Elektroberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Asien,354
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Mechatronik-, Energie- und Elektroberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Australien/Ozeanien,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Mechatronik-, Energie- und Elektroberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EU-Länder,447
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Mechatronik-, Energie- und Elektroberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Übriges Europa,3144
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Mechatronik-, Energie- und Elektroberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EWR/Schweiz,453
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Mechatronik-, Energie- und Elektroberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Drittstaaten,4425
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Technische Forschungs-, Entwicklungs-, Konstruktions- und Produktionssteuerungsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Europa,3207
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Technische Forschungs-, Entwicklungs-, Konstruktions- und Produktionssteuerungsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Afrika,189
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Technische Forschungs-, Entwicklungs-, Konstruktions- und Produktionssteuerungsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Amerika (gesamt),246
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Technische Forschungs-, Entwicklungs-, Konstruktions- und Produktionssteuerungsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Nordamerika,57
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Technische Forschungs-, Entwicklungs-, Konstruktions- und Produktionssteuerungsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Südamerika,189
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Technische Forschungs-, Entwicklungs-, Konstruktions- und Produktionssteuerungsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Asien,1041
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Technische Forschungs-, Entwicklungs-, Konstruktions- und Produktionssteuerungsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Australien/Ozeanien,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Technische Forschungs-, Entwicklungs-, Konstruktions- und Produktionssteuerungsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EU-Länder,450
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Technische Forschungs-, Entwicklungs-, Konstruktions- und Produktionssteuerungsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Übriges Europa,2757
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Technische Forschungs-, Entwicklungs-, Konstruktions- und Produktionssteuerungsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,EWR/Schweiz,459
