Statistik_Code,Statistik_Label,Berichtsjahr,Zusammenfassungen ausgewaehlter Berufe,Berufsgattung,Referenzberuf,Rechtsgrundlage,Reglementierung,Geschlecht,Entscheidung,Verfahren_Anzahl
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,positiv - volle Gleichwertigkeit,483
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Auflage einer Ausgleichsmaßnahme,66
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,teilweise Gleichwertigkeit,15
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,negativ beschieden,12
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,sonstige Erledigung/ Verfahren ohne Bescheid beendet,9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,noch keine Entscheidung,57
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Ingenieur/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,5451
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Ingenieur/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Verfahren beschieden,4464
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Ingenieur/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Positiv beschieden,4350
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Ingenieur/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,positiv - volle Gleichwertigkeit,4350
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Ingenieur/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,negativ beschieden,117
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Ingenieur/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,sonstige Erledigung/ Verfahren ohne Bescheid beendet,210
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Ingenieur/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,noch keine Entscheidung,777
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Kinderpfleger/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,171
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Kinderpfleger/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Verfahren beschieden,114
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Kinderpfleger/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Positiv beschieden,102
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Kinderpfleger/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,positiv - volle Gleichwertigkeit,87
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Kinderpfleger/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Auflage einer Ausgleichsmaßnahme,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Kinderpfleger/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,teilweise Gleichwertigkeit,9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Kinderpfleger/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,negativ beschieden,12
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Kinderpfleger/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,sonstige Erledigung/ Verfahren ohne Bescheid beendet,42
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Kinderpfleger/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,noch keine Entscheidung,15
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Lehramt/Lehrer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,4134
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Lehramt/Lehrer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Verfahren beschieden,3204
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Lehramt/Lehrer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Positiv beschieden,2832
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Lehramt/Lehrer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,positiv - volle Gleichwertigkeit,342
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Lehramt/Lehrer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Auflage einer Ausgleichsmaßnahme,2235
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Lehramt/Lehrer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,positiv - partieller Berufszugang,258
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Lehramt/Lehrer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,negativ beschieden,372
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Lehramt/Lehrer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,sonstige Erledigung/ Verfahren ohne Bescheid beendet,111
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Lehramt/Lehrer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,noch keine Entscheidung,819
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,35259
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Verfahren beschieden,32832
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Positiv beschieden,32454
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,positiv - volle Gleichwertigkeit,12027
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Auflage einer Ausgleichsmaßnahme,20427
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,negativ beschieden,378
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,sonstige Erledigung/ Verfahren ohne Bescheid beendet,264
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,noch keine Entscheidung,2160
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Insgesamt,3093
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Verfahren beschieden,2721
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Positiv beschieden,1968
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,positiv - volle Gleichwertigkeit,624
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Auflage einer Ausgleichsmaßnahme,1287
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,positiv - partieller Berufszugang,54
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,negativ beschieden,753
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,sonstige Erledigung/ Verfahren ohne Bescheid beendet,153
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,noch keine Entscheidung,219
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Insgesamt,399
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Verfahren beschieden,282
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Positiv beschieden,180
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,positiv - volle Gleichwertigkeit,60
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Auflage einer Ausgleichsmaßnahme,120
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,positiv - partieller Berufszugang,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,negativ beschieden,102
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,sonstige Erledigung/ Verfahren ohne Bescheid beendet,63
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,noch keine Entscheidung,51
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Insgesamt,177
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Verfahren beschieden,153
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Positiv beschieden,141
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,positiv - volle Gleichwertigkeit,93
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Auflage einer Ausgleichsmaßnahme,48
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,negativ beschieden,9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,sonstige Erledigung/ Verfahren ohne Bescheid beendet,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,noch keine Entscheidung,18
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Insgesamt,183
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Verfahren beschieden,162
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Positiv beschieden,150
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,positiv - volle Gleichwertigkeit,96
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Auflage einer Ausgleichsmaßnahme,54
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,negativ beschieden,12
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,sonstige Erledigung/ Verfahren ohne Bescheid beendet,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,noch keine Entscheidung,15
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Insgesamt,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Verfahren beschieden,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Positiv beschieden,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,positiv - volle Gleichwertigkeit,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,negativ beschieden,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,noch keine Entscheidung,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Insgesamt,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Verfahren beschieden,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Positiv beschieden,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,positiv - volle Gleichwertigkeit,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,negativ beschieden,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,noch keine Entscheidung,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Insgesamt,501
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Verfahren beschieden,453
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Positiv beschieden,444
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,positiv - volle Gleichwertigkeit,393
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,Auflage einer Ausgleichsmaßnahme,42
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,teilweise Gleichwertigkeit,9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,negativ beschieden,9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,sonstige Erledigung/ Verfahren ohne Bescheid beendet,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,noch keine Entscheidung,45
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Insgesamt,138
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Verfahren beschieden,123
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Positiv beschieden,120
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,positiv - volle Gleichwertigkeit,90
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,Auflage einer Ausgleichsmaßnahme,21
