Statistik_Code,Statistik_Label,Berichtsjahr,Kontinent,Staatsangehoerigkeit,Rang,Beruf,Positiv_Beschieden_Anzahl
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,12,Elektroniker/in für Betriebstechnik,287
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,13,Kraftfahrzeugmechatroniker/in,554
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,14,Kaufmann/Kauffrau für Büromanagement,565
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,15,Elektroniker/in,687
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,16,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",687
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,17,Hebamme/Entbindungspfleger (Ausbildung),310
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,18,Anästhesietechnische(r) Assistent/in (ATA),129
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,19,Industrieelektriker/in,426
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,20,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,336
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,Übrige,Übrige Berufe,8539
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),6401
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),949
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,3,Ingenieur/in,184
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,4,Lehramt/Lehrer/in,49
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,5,Physiotherapeut/in,464
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,6,Erzieher/in,34
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),104
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,8,Apotheker/in (im Rahmen der Approbationserteilung),190
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,9,Elektroanlagenmonteur/in,5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,10,Koch/Köchin,89
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,11,Medizinisch-technische(r) Radiologieassistent/in,196
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,12,Elektroniker/in für Betriebstechnik,57
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,13,Kraftfahrzeugmechatroniker/in,101
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,14,Kaufmann/Kauffrau für Büromanagement,62
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,15,Elektroniker/in,36
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,16,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",23
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,17,Hebamme/Entbindungspfleger (Ausbildung),128
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,18,Anästhesietechnische(r) Assistent/in (ATA),312
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,19,Industrieelektriker/in,42
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,20,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,56
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,Übrige,Übrige Berufe,1256
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),2844
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),964
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,3,Ingenieur/in,200
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,4,Lehramt/Lehrer/in,102
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,5,Physiotherapeut/in,88
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,6,Erzieher/in,108
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),32
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,8,Apotheker/in (im Rahmen der Approbationserteilung),11
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,9,Elektroanlagenmonteur/in,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,10,Koch/Köchin,26
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,11,Medizinisch-technische(r) Radiologieassistent/in,14
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,12,Elektroniker/in für Betriebstechnik,399
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,13,Kraftfahrzeugmechatroniker/in,25
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,14,Kaufmann/Kauffrau für Büromanagement,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,15,Elektroniker/in,8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,16,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",25
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,17,Hebamme/Entbindungspfleger (Ausbildung),15
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,19,Industrieelektriker/in,33
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,20,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,40
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,Übrige,Übrige Berufe,440
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),11458
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),4416
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,3,Ingenieur/in,977
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,4,Lehramt/Lehrer/in,226
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,5,Physiotherapeut/in,221
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,6,Erzieher/in,150
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),707
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,8,Apotheker/in (im Rahmen der Approbationserteilung),674
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,9,Elektroanlagenmonteur/in,15
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,10,Koch/Köchin,190
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,11,Medizinisch-technische(r) Radiologieassistent/in,121
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,12,Elektroniker/in für Betriebstechnik,77
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,13,Kraftfahrzeugmechatroniker/in,122
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,14,Kaufmann/Kauffrau für Büromanagement,145
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,15,Elektroniker/in,51
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,16,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",34
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,17,Hebamme/Entbindungspfleger (Ausbildung),201
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,18,Anästhesietechnische(r) Assistent/in (ATA),199
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,19,Industrieelektriker/in,72
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,20,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,127
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,Übrige,Übrige Berufe,1938
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,3,Ingenieur/in,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,4,Lehramt/Lehrer/in,5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,5,Physiotherapeut/in,2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,6,Erzieher/in,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,9,Elektroanlagenmonteur/in,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,12,Elektroniker/in für Betriebstechnik,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,15,Elektroniker/in,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,16,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,Übrige,Übrige Berufe,7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),30
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),28
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,3,Ingenieur/in,2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,5,Physiotherapeut/in,4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,6,Erzieher/in,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,8,Apotheker/in (im Rahmen der Approbationserteilung),4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,11,Medizinisch-technische(r) Radiologieassistent/in,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,12,Elektroniker/in für Betriebstechnik,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,14,Kaufmann/Kauffrau für Büromanagement,9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,17,Hebamme/Entbindungspfleger (Ausbildung),1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,18,Anästhesietechnische(r) Assistent/in (ATA),1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,20,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,Übrige,Übrige Berufe,31
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Albanien,Übrige,Insgesamt,1911
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Andorra,Übrige,Insgesamt,2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Belarus,Übrige,Insgesamt,356
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Belgien,Übrige,Insgesamt,106
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Bosnien und Herzegowina,Übrige,Insgesamt,3596
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Bulgarien,Übrige,Insgesamt,549
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Deutschland,Übrige,Insgesamt,4190
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Dänemark,Übrige,Insgesamt,26
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Estland,Übrige,Insgesamt,8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Finnland,Übrige,Insgesamt,13
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Frankreich,Übrige,Insgesamt,148
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Griechenland,Übrige,Insgesamt,632
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Irland,Übrige,Insgesamt,8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Island,Übrige,Insgesamt,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Italien,Übrige,Insgesamt,540
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Kosovo,Übrige,Insgesamt,2960
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Kroatien,Übrige,Insgesamt,1042
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Lettland,Übrige,Insgesamt,49
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Liechtenstein,Übrige,Insgesamt,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Litauen,Übrige,Insgesamt,73
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Luxemburg,Übrige,Insgesamt,35
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Moldau,Übrige,Insgesamt,138
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Monaco,Übrige,Insgesamt,2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Montenegro,Übrige,Insgesamt,92
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Niederlande,Übrige,Insgesamt,135
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Nordmazedonien,Übrige,Insgesamt,796
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Norwegen,Übrige,Insgesamt,17
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Oesterreich,Übrige,Insgesamt,453
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Polen,Übrige,Insgesamt,1084
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Portugal,Übrige,Insgesamt,191
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Rumänien,Übrige,Insgesamt,1395
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Russische Föderation,Übrige,Insgesamt,951
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Schweden,Übrige,Insgesamt,52
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Schweiz,Übrige,Insgesamt,127
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Serbien,Übrige,Insgesamt,2097
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Slowakei,Übrige,Insgesamt,125
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Slowenien,Übrige,Insgesamt,31
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Spanien,Übrige,Insgesamt,1016
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Tschechien,Übrige,Insgesamt,145
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Türkei,Übrige,Insgesamt,8966
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Ukraine,Übrige,Insgesamt,6133
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Ungarn,Übrige,Insgesamt,421
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Vatikanstadt,Übrige,Insgesamt,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Vereinigtes Königreich,Übrige,Insgesamt,49
