Statistik_Code,Statistik_Label,Berichtsjahr,Rechtsgrundlage,Reglementierung,Geschlecht,Neuantraege_Anzahl
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Landesrecht,Insgesamt,Insgesamt,10422
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Landesrecht,Insgesamt,Männer,3804
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Landesrecht,Insgesamt,Frauen,6618
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Landesrecht,nicht Reglementiert,Insgesamt,1029
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Landesrecht,reglementiert,Insgesamt,9393
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Insgesamt,Insgesamt,Insgesamt,43128
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Insgesamt,Insgesamt,Männer,17826
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Insgesamt,Insgesamt,Frauen,25302
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Insgesamt,nicht Reglementiert,Insgesamt,7896
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Insgesamt,reglementiert,Insgesamt,35229
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Bundesrecht,Insgesamt,Insgesamt,33123
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Bundesrecht,Insgesamt,Männer,13968
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Bundesrecht,Insgesamt,Frauen,19155
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Bundesrecht,nicht Reglementiert,Insgesamt,6969
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Bundesrecht,reglementiert,Insgesamt,26154
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Landesrecht,Insgesamt,Insgesamt,10005
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Landesrecht,Insgesamt,Männer,3858
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Landesrecht,Insgesamt,Frauen,6147
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Landesrecht,nicht Reglementiert,Insgesamt,927
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Landesrecht,reglementiert,Insgesamt,9078
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Insgesamt,Insgesamt,Insgesamt,39114
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Insgesamt,Insgesamt,Männer,17283
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Insgesamt,Insgesamt,Frauen,21831
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Insgesamt,nicht Reglementiert,Insgesamt,7572
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Insgesamt,reglementiert,Insgesamt,31545
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Bundesrecht,Insgesamt,Insgesamt,29202
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Bundesrecht,Insgesamt,Männer,13401
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Bundesrecht,Insgesamt,Frauen,15804
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Bundesrecht,nicht Reglementiert,Insgesamt,6639
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Bundesrecht,reglementiert,Insgesamt,22563
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Landesrecht,Insgesamt,Insgesamt,9912
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Landesrecht,Insgesamt,Männer,3882
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Landesrecht,Insgesamt,Frauen,6030
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Landesrecht,nicht Reglementiert,Insgesamt,933
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Landesrecht,reglementiert,Insgesamt,8979
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Insgesamt,Insgesamt,Insgesamt,35901
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Insgesamt,Insgesamt,Männer,16335
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Insgesamt,Insgesamt,Frauen,19566
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Insgesamt,nicht Reglementiert,Insgesamt,6783
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Insgesamt,reglementiert,Insgesamt,29118
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Bundesrecht,Insgesamt,Insgesamt,24987
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Bundesrecht,Insgesamt,Männer,11706
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Bundesrecht,Insgesamt,Frauen,13278
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Bundesrecht,nicht Reglementiert,Insgesamt,5769
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Bundesrecht,reglementiert,Insgesamt,19215
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Landesrecht,Insgesamt,Insgesamt,10914
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Landesrecht,Insgesamt,Männer,4629
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Landesrecht,Insgesamt,Frauen,6285
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Landesrecht,nicht Reglementiert,Insgesamt,1011
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Landesrecht,reglementiert,Insgesamt,9903
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Insgesamt,Insgesamt,Insgesamt,32403
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Insgesamt,Insgesamt,Männer,14202
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Insgesamt,Insgesamt,Frauen,18198
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Insgesamt,nicht Reglementiert,Insgesamt,6516
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Insgesamt,reglementiert,Insgesamt,25887
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Bundesrecht,Insgesamt,Insgesamt,23028
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Bundesrecht,Insgesamt,Männer,10656
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Bundesrecht,Insgesamt,Frauen,12372
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Bundesrecht,nicht Reglementiert,Insgesamt,5772
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Bundesrecht,reglementiert,Insgesamt,17256
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Landesrecht,Insgesamt,Insgesamt,9372
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Landesrecht,Insgesamt,Männer,3546
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Landesrecht,Insgesamt,Frauen,5826
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Landesrecht,nicht Reglementiert,Insgesamt,744
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Landesrecht,reglementiert,Insgesamt,8631
