Origin country (code),Origin country (name),Host country (code),Host country (name),Profession,Year from,Year to,Establishment,Type of decision,Pos/Neg/Neutral,Total,Recognition,Qualification/Training,Qualification level,Isco code 1,Isco label 1
AT,Austria,DE,Germany,Veterinary Surgeon,2017,2017,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
AT,Austria,DE,Germany,Veterinary Surgeon,2016,2016,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
AT,Austria,DE,Germany,Air conditioning technician/Heating/Central heating technician/installer/repairer/Maintenance-Installation of ventilation equipment,2019,2019,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7127,Air conditioning and refrigeration mechanics
AT,Austria,DE,Germany,Scaffolder,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7119,Building frame and related trades workers not elsewhere classified
AT,Austria,DE,Germany,Electrician / Senior electrician /Specialised electrician,2019,2019,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7411,Building and related electricians
AT,Austria,DE,Germany,Electrician / Senior electrician /Specialised electrician,2018,2018,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7411,Building and related electricians
AT,Austria,DE,Germany,Electrician / Senior electrician /Specialised electrician,2017,2017,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7411,Building and related electricians
AT,Austria,DE,Germany,Electrician / Senior electrician /Specialised electrician,2016,2016,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7411,Building and related electricians
AT,Austria,DE,Germany,Electrician / Senior electrician /Specialised electrician,2015,2015,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7411,Building and related electricians
AT,Austria,DE,Germany,Accountant/ Tax advisor,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,169,Sectoral professions Annex V - automatic recognition,,,2411,Accountants
AT,Austria,DE,Germany,Joiner/Carpenter,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,21,Sectoral professions Annex V - automatic recognition,,,7115,Carpenters and joiners
AT,Austria,DE,Germany,Building insulator / Building insulation,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,6,Sectoral professions Annex V - automatic recognition,,,7124,Insulation workers
AT,Austria,DE,Germany,Wooden furniture maker,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,27,Sectoral professions Annex V - automatic recognition,,,7522,Cabinet-makers and related workers
AT,Austria,DE,Germany,"Construction/Civil engineering: building of roads, bridges, railways",2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,2142,Civil engineers
AT,Austria,DE,Germany,Metal caster / Foundry worker,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,27,Sectoral professions Annex V - automatic recognition,,,7211,Metal moulders and coremakers
AT,Austria,DE,Germany,Mason /Bricklayer,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,24,Sectoral professions Annex V - automatic recognition,,,7122,Floor layers and tile setters
AT,Austria,DE,Germany,Painter-decorator,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,6,Sectoral professions Annex V - automatic recognition,,,7131,Painters and related workers
AT,Austria,DE,Germany,Air conditioning technician/Heating/Central heating technician/installer/repairer/Maintenance-Installation of ventilation equipment,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7127,Air conditioning and refrigeration mechanics
AT,Austria,DE,Germany,Plumber,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,6,Sectoral professions Annex V - automatic recognition,,,7126,Plumbers and pipe fitters
AT,Austria,DE,Germany,Air conditioning technician/Heating/Central heating technician/installer/repairer/Maintenance-Installation of ventilation equipment,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,42,Sectoral professions Annex V - automatic recognition,,,7127,Air conditioning and refrigeration mechanics
AT,Austria,DE,Germany,Glazier / Glass-blowing and manufacture of glass apparatus,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7125,Glaziers
AT,Austria,DE,Germany,Tiler,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7122,Floor layers and tile setters
AT,Austria,DE,Germany,Manufacture and/or repair of precision instruments and measuring and controlling instruments,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7311,Precision-instrument makers and repairers
AT,Austria,DE,Germany,Electrician / Senior electrician /Specialised electrician,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,54,Sectoral professions Annex V - automatic recognition,,,7411,Building and related electricians
AT,Austria,DE,Germany,Roofer / Roofing,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,6,Sectoral professions Annex V - automatic recognition,,,7121,Roofers
AT,Austria,DE,Germany,Architect,2022,2022,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,Architect training (Article 46 of Directive 2005/36/EC),,2161,Building architects
AT,Austria,DE,Germany,Joiner/Carpenter,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,15,Sectoral professions Annex V - automatic recognition,,,7115,Carpenters and joiners
AT,Austria,DE,Germany,Wooden furniture maker,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,33,Sectoral professions Annex V - automatic recognition,,,7522,Cabinet-makers and related workers
AT,Austria,DE,Germany,"Construction/Civil engineering: building of roads, bridges, railways",2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,6,Sectoral professions Annex V - automatic recognition,,,2142,Civil engineers
AT,Austria,DE,Germany,Building contractor,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,3123,Construction supervisors
AT,Austria,DE,Germany,Patent Agent / Trademark agent,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,3339,Business services agents not elsewhere classified
AT,Austria,DE,Germany,Metal caster / Foundry worker,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,36,Sectoral professions Annex V - automatic recognition,,,7211,Metal moulders and coremakers
AT,Austria,DE,Germany,Mason /Bricklayer,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,27,Sectoral professions Annex V - automatic recognition,,,7122,Floor layers and tile setters
AT,Austria,DE,Germany,Painter-decorator,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,12,Sectoral professions Annex V - automatic recognition,,,7131,Painters and related workers
AT,Austria,DE,Germany,Air conditioning technician/Heating/Central heating technician/installer/repairer/Maintenance-Installation of ventilation equipment,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7127,Air conditioning and refrigeration mechanics
AT,Austria,DE,Germany,Air conditioning technician/Heating/Central heating technician/installer/repairer/Maintenance-Installation of ventilation equipment,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,45,Sectoral professions Annex V - automatic recognition,,,7127,Air conditioning and refrigeration mechanics
AT,Austria,DE,Germany,Glazier / Glass-blowing and manufacture of glass apparatus,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7125,Glaziers
AT,Austria,DE,Germany,Tiler,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,6,Sectoral professions Annex V - automatic recognition,,,7122,Floor layers and tile setters
AT,Austria,DE,Germany,Electrician / Senior electrician /Specialised electrician,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,45,Sectoral professions Annex V - automatic recognition,,,7411,Building and related electricians
AT,Austria,DE,Germany,Roofer / Roofing,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,12,Sectoral professions Annex V - automatic recognition,,,7121,Roofers
AT,Austria,DE,Germany,Architect,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,Architect training (Article 46 of Directive 2005/36/EC),,2161,Building architects
AT,Austria,DE,Germany,Accountant/ Tax advisor,2020,2020,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,12,Sectoral professions Annex V - automatic recognition,,,2411,Accountants
AT,Austria,DE,Germany,Patent Agent / Trademark agent,2020,2020,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,3339,Business services agents not elsewhere classified
AT,Austria,DE,Germany,Electrician / Senior electrician /Specialised electrician,2020,2020,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7411,Building and related electricians
AT,Austria,DE,Germany,Architect,2020,2020,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,Architect training (Article 46 of Directive 2005/36/EC),,2161,Building architects
AT,Austria,DE,Germany,Accountant/ Tax advisor,2015,2015,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,172,Sectoral professions Annex V - automatic recognition,,,2411,Accountants
AT,Austria,DE,Germany,Doctor of Medicine,2011,2011,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,1,Sectoral professions Annex V - automatic recognition,Basic medical training (Article 24),,221,Medical doctors
AT,Austria,DE,Germany,Air conditioning technician/Heating/Central heating technician/installer/repairer/Maintenance-Installation of ventilation equipment,2011,2011,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,5,Sectoral professions Annex V - automatic recognition,,,7127,Air conditioning and refrigeration mechanics
AT,Austria,DE,Germany,Accountant/ Tax advisor,2012,2012,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,94,Sectoral professions Annex V - automatic recognition,,,2411,Accountants
AT,Austria,DE,Germany,Child care worker,2012,2012,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,2,Sectoral professions Annex V - automatic recognition,,,5311,Child care workers
AT,Austria,DE,Germany,Secondary school teacher,2011,2011,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,14,Sectoral professions Annex V - automatic recognition,,,2330,Secondary education teachers
AT,Austria,DE,Germany,Accountant/ Tax advisor,2011,2011,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,64,Sectoral professions Annex V - automatic recognition,,,2411,Accountants
AT,Austria,DE,Germany,Engineer,2011,2011,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,6,Sectoral professions Annex V - automatic recognition,,,214,Engineering professionals (excluding electrotechnology)
AT,Austria,DE,Germany,Interior designer-architect,2011,2011,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,1,Sectoral professions Annex V - automatic recognition,,,3432,Interior designers and decorators
AT,Austria,DE,Germany,Architect,2011,2011,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,9,Sectoral professions Annex V - automatic recognition,Architect training (Article 46 of Directive 2005/36/EC),,2161,Building architects
AT,Austria,DE,Germany,Child care worker,2011,2011,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,1,Sectoral professions Annex V - automatic recognition,,,5311,Child care workers
AT,Austria,DE,Germany,Secondary school teacher,2012,2012,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,8,Sectoral professions Annex V - automatic recognition,,,2330,Secondary education teachers
AT,Austria,DE,Germany,Nurse,2011,2011,Yes,Negative Automatic Sectoral professions,-,1,Sectoral professions Annex V - automatic recognition,Training of Nurse responsible for general care (Article 31 of Directive 2005/36/EC),,2221,Nursing professionals
AT,Austria,DE,Germany,Doctor of Medicine,2011,2011,Yes,Negative Automatic Sectoral professions,-,1,Sectoral professions Annex V - automatic recognition,Basic medical training (Article 24),,221,Medical doctors
AT,Austria,DE,Germany,Nurse,1999,2000,Yes,Negative Automatic Sectoral professions,-,1,Sectoral professions Annex V - automatic recognition,Specialist nurse training (national training requirements),,2221,Nursing professionals
AT,Austria,DE,Germany,Nurse,1997,1998,Yes,Negative Automatic Sectoral professions,-,1,Sectoral professions Annex V - automatic recognition,Specialist nurse training (national training requirements),,2221,Nursing professionals
AT,Austria,DE,Germany,Doctor of Medicine,2019,2019,Yes,Positive Automatic Sectoral Professions ,+,303,Sectoral professions Annex V - automatic recognition,Basic medical training (Article 24),,221,Medical doctors
AT,Austria,DE,Germany,Doctor of Medicine,2018,2018,Yes,Positive Automatic Sectoral Professions ,+,186,Sectoral professions Annex V - automatic recognition,Basic medical training (Article 24),,221,Medical doctors
AT,Austria,DE,Germany,Doctor of Medicine,2023,2023,Yes,Positive Automatic Sectoral Professions ,+,384,Sectoral professions Annex V - automatic recognition,Basic medical training (Article 24),,221,Medical doctors
AT,Austria,DE,Germany,Architect,2023,2023,Yes,Positive Automatic Sectoral Professions ,+,9,Sectoral professions Annex V - automatic recognition,Architect training (Article 46 of Directive 2005/36/EC),,2161,Building architects
AT,Austria,DE,Germany,Pharmacist,2023,2023,Yes,Positive Automatic Sectoral Professions ,+,12,Sectoral professions Annex V - automatic recognition,Pharmacist training (Article 44 of Directive 2005/36/EC),,2262,Pharmacists
AT,Austria,DE,Germany,Pharmacist,2017,2017,Yes,Positive Automatic Sectoral Professions ,+,9,Sectoral professions Annex V - automatic recognition,Pharmacist training (Article 44 of Directive 2005/36/EC),,2262,Pharmacists
AT,Austria,DE,Germany,Nurse,2019,2019,Yes,Positive Automatic Sectoral Professions ,+,57,Sectoral professions Annex V - automatic recognition,Training of Nurse responsible for general care (Article 31 of Directive 2005/36/EC),,2221,Nursing professionals
AT,Austria,DE,Germany,Midwife,2019,2019,Yes,Positive Automatic Sectoral Professions ,+,3,Sectoral professions Annex V - automatic recognition,Midwife training (Article 40 of Directive 2005/36/EC),,2222,Midwifery professionals
AT,Austria,DE,Germany,Dental Practitioner,2019,2019,Yes,Positive Automatic Sectoral Professions ,+,33,Sectoral professions Annex V - automatic recognition,Basic dental training (Article 34 of Directive 2005/36/EC),,2261,Dentists
AT,Austria,DE,Germany,Veterinary Surgeon,2019,2019,Yes,Positive Automatic Sectoral Professions ,+,36,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
AT,Austria,DE,Germany,Veterinary Surgeon,2017,2017,Yes,Positive Automatic Sectoral Professions ,+,24,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
AT,Austria,DE,Germany,Veterinary Surgeon,2016,2016,Yes,Positive Automatic Sectoral Professions ,+,15,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
AT,Austria,DE,Germany,Veterinary Surgeon,2015,2015,Yes,Positive Automatic Sectoral Professions ,+,24,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
AT,Austria,DE,Germany,Architect,2019,2019,Yes,Positive Automatic Sectoral Professions ,+,3,Sectoral professions Annex V - automatic recognition,Architect training (Article 46 of Directive 2005/36/EC),,2161,Building architects
AT,Austria,DE,Germany,Architect,2018,2018,Yes,Positive Automatic Sectoral Professions ,+,6,Sectoral professions Annex V - automatic recognition,Architect training (Article 46 of Directive 2005/36/EC),,2161,Building architects
AT,Austria,DE,Germany,Midwife,2023,2023,Yes,Positive Automatic Sectoral Professions ,+,6,Sectoral professions Annex V - automatic recognition,Midwife training (Article 40 of Directive 2005/36/EC),,2222,Midwifery professionals
AT,Austria,DE,Germany,Nurse,2023,2023,Yes,Positive Automatic Sectoral Professions ,+,36,Sectoral professions Annex V - automatic recognition,Training of Nurse responsible for general care (Article 31 of Directive 2005/36/EC),,2221,Nursing professionals
AT,Austria,DE,Germany,Veterinary Surgeon,2023,2023,Yes,Positive Automatic Sectoral Professions ,+,48,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
AT,Austria,DE,Germany,Dental Practitioner,2023,2023,Yes,Positive Automatic Sectoral Professions ,+,117,Sectoral professions Annex V - automatic recognition,Basic dental training (Article 34 of Directive 2005/36/EC),,2261,Dentists
AT,Austria,DE,Germany,Doctor of Medicine,2022,2022,Yes,Positive Automatic Sectoral Professions ,+,348,Sectoral professions Annex V - automatic recognition,Basic medical training (Article 24),,221,Medical doctors
AT,Austria,DE,Germany,Architect,2022,2022,Yes,Positive Automatic Sectoral Professions ,+,15,Sectoral professions Annex V - automatic recognition,Architect training (Article 46 of Directive 2005/36/EC),,2161,Building architects
AT,Austria,DE,Germany,Pharmacist,2022,2022,Yes,Positive Automatic Sectoral Professions ,+,6,Sectoral professions Annex V - automatic recognition,Pharmacist training (Article 44 of Directive 2005/36/EC),,2262,Pharmacists
AT,Austria,DE,Germany,Dental Practitioner,2022,2022,Yes,Positive Automatic Sectoral Professions ,+,108,Sectoral professions Annex V - automatic recognition,Basic dental training (Article 34 of Directive 2005/36/EC),,2261,Dentists
AT,Austria,DE,Germany,Veterinary Surgeon,2022,2022,Yes,Positive Automatic Sectoral Professions ,+,60,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
AT,Austria,DE,Germany,Dental Practitioner,2021,2021,Yes,Positive Automatic Sectoral Professions ,+,90,Sectoral professions Annex V - automatic recognition,Basic dental training (Article 34 of Directive 2005/36/EC),,2261,Dentists
AT,Austria,DE,Germany,Veterinary Surgeon,2021,2021,Yes,Positive Automatic Sectoral Professions ,+,57,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
AT,Austria,DE,Germany,Midwife,2022,2022,Yes,Positive Automatic Sectoral Professions ,+,3,Sectoral professions Annex V - automatic recognition,Midwife training (Article 40 of Directive 2005/36/EC),,2222,Midwifery professionals
AT,Austria,DE,Germany,Nurse,2022,2022,Yes,Positive Automatic Sectoral Professions ,+,6,Sectoral professions Annex V - automatic recognition,Training of Nurse responsible for general care (Article 31 of Directive 2005/36/EC),,2221,Nursing professionals
AT,Austria,DE,Germany,Nurse,2021,2021,Yes,Positive Automatic Sectoral Professions ,+,18,Sectoral professions Annex V - automatic recognition,Training of Nurse responsible for general care (Article 31 of Directive 2005/36/EC),,2221,Nursing professionals
AT,Austria,DE,Germany,Doctor of Medicine,2021,2021,Yes,Positive Automatic Sectoral Professions ,+,6,Sectoral professions Annex V - automatic recognition,Specialist medical training (Article 25 of Directive 2005/36/EC),,221,Medical doctors
AT,Austria,DE,Germany,Doctor of Medicine,2021,2021,Yes,Positive Automatic Sectoral Professions ,+,3,Sectoral professions Annex V - automatic recognition,Training in General Medical Practice (Article 28 of Directive 2005/36/EC),,221,Medical doctors
AT,Austria,DE,Germany,Doctor of Medicine,2020,2020,Yes,Positive Automatic Sectoral Professions ,+,3,Sectoral professions Annex V - automatic recognition,Specialist medical training (Article 25 of Directive 2005/36/EC),,221,Medical doctors
AT,Austria,DE,Germany,Doctor of Medicine,2020,2020,Yes,Positive Automatic Sectoral Professions ,+,3,Sectoral professions Annex V - automatic recognition,Training in General Medical Practice (Article 28 of Directive 2005/36/EC),,221,Medical doctors
